Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,294000.000000,304000.000000,291000.000000,292500.000000,292500.000000,718171
2021-03-24,294000.000000,302000.000000,292000.000000,300000.000000,300000.000000,567246
2021-03-25,301500.000000,307500.000000,299000.000000,307500.000000,307500.000000,585517
2021-03-26,311500.000000,316500.000000,304000.000000,314000.000000,314000.000000,815381
2021-03-29,332500.000000,334500.000000,322000.000000,330500.000000,330500.000000,1786627
2021-03-30,328500.000000,329000.000000,323000.000000,323500.000000,323500.000000,614957
2021-03-31,326500.000000,330000.000000,322500.000000,324500.000000,324500.000000,529579
2021-04-01,323500.000000,327500.000000,318000.000000,324500.000000,324500.000000,528893
2021-04-02,324500.000000,326000.000000,318000.000000,320500.000000,320500.000000,500451
2021-04-05,318000.000000,319000.000000,307000.000000,308000.000000,308000.000000,716852
2021-04-06,309000.000000,313000.000000,302000.000000,303500.000000,303500.000000,634988
2021-04-07,304000.000000,312000.000000,303000.000000,306000.000000,306000.000000,458016
2021-04-08,306500.000000,311500.000000,303000.000000,311500.000000,311500.000000,486544
2021-04-09,312500.000000,314500.000000,309000.000000,309500.000000,309500.000000,347094
2021-04-12,309500.000000,311000.000000,306000.000000,310500.000000,310500.000000,342305
2021-04-13,312500.000000,319000.000000,309000.000000,316000.000000,316000.000000,573517
2021-04-14,317000.000000,319000.000000,313000.000000,315000.000000,315000.000000,407935
2021-04-15,314500.000000,315000.000000,309000.000000,309500.000000,309500.000000,547071
2021-04-16,310500.000000,312000.000000,306500.000000,308000.000000,308000.000000,378139
2021-04-19,308000.000000,313500.000000,305500.000000,309500.000000,309500.000000,569414
2021-04-20,306500.000000,308000.000000,299500.000000,300000.000000,300000.000000,1058058
2021-04-21,295500.000000,297500.000000,290000.000000,290500.000000,290500.000000,1004575
2021-04-22,292000.000000,294500.000000,287000.000000,288000.000000,288000.000000,772035
2021-04-23,288000.000000,291000.000000,285000.000000,288000.000000,288000.000000,521531
2021-04-26,288000.000000,288500.000000,284000.000000,285000.000000,285000.000000,716990
2021-04-27,285000.000000,285500.000000,273500.000000,274000.000000,274000.000000,1344606
2021-04-28,272500.000000,282000.000000,266000.000000,270000.000000,270000.000000,1371738
2021-04-29,270500.000000,277000.000000,264000.000000,268500.000000,268500.000000,1036746
2021-04-30,270000.000000,273000.000000,265000.000000,266000.000000,266000.000000,698855
2021-05-03,265000.000000,268000.000000,248500.000000,249500.000000,249500.000000,1931130
2021-05-04,245500.000000,260500.000000,244000.000000,260000.000000,260000.000000,1828139
2021-05-06,260000.000000,261500.000000,251000.000000,252500.000000,252500.000000,1153094
2021-05-07,253500.000000,272000.000000,253000.000000,266500.000000,266500.000000,1301011
2021-05-10,276500.000000,277500.000000,269000.000000,275000.000000,275000.000000,961271
2021-05-11,273500.000000,276500.000000,266500.000000,270500.000000,270500.000000,690113
2021-05-12,270500.000000,274500.000000,261500.000000,262500.000000,262500.000000,771734
2021-05-13,260500.000000,270500.000000,260000.000000,265000.000000,265000.000000,862168
2021-05-14,265000.000000,271500.000000,261500.000000,270500.000000,270500.000000,571387
2021-05-17,274000.000000,277000.000000,269000.000000,269500.000000,269500.000000,571257
2021-05-18,265000.000000,273500.000000,263500.000000,272000.000000,272000.000000,439224
2021-05-20,269000.000000,272500.000000,268500.000000,270000.000000,270000.000000,405516
2021-05-21,272000.000000,276000.000000,268500.000000,268500.000000,268500.000000,453849
2021-05-24,269000.000000,269000.000000,261500.000000,262000.000000,262000.000000,454113
2021-05-25,263000.000000,272000.000000,261000.000000,272000.000000,272000.000000,535978
2021-05-26,270000.000000,273000.000000,268000.000000,270500.000000,270500.000000,285099
2021-05-27,270500.000000,272000.000000,265000.000000,269000.000000,269000.000000,512886
2021-05-28,269500.000000,276000.000000,268000.000000,273500.000000,273500.000000,596212
